addition	n 加法；附加物
annually	adv 一年一次；每年
character	n（人物）角色；品质
compute	v 计算
connect to	phr 连接
considerable	adj 重要的
delicate	adj 易损的；虚弱的
delta	n（河流的）三角洲
desperate	adj 绝望的
detective	n 侦探 adj 侦探的
diagram	n 图表
dialog	n 对话
dictation	n 听写
differ	v 不同于
dilemma	n（进退两难的）困境
diploma	n 毕业证书
directory	n（计算机文件或程序的）目录；电话号码簿
dirt	n 灰尘
disabled	adj 残疾的
due	adj 拖欠的；到期的 n 应有的权利
eagle	n 鹰；鹰击
environmental	adj 环境的
evidence	v 证明 n 证据
factor	n 因素
fictional	adj 虚构的
groundwater	n 地下水
impress	v 给……留下深刻印象
interactive	adj 交互的
manner	n 态度，举止；（复数）礼仪
memoir	n 回忆录
mobile	adj 可移动的；多变的
muscle	n 肌肉；体力 v 用强硬手段获得
network	n 网络 v 建立关系网
occur	v 发生
partner	n 搭档 v 成为……的合伙人
pleasure	n 愉快
qualified	adj 有资格的
sensor	n 传感器
transmission	n 传输，发射
unmanned	adj 无人驾驶的
