abundant	adj 丰富的
administration	n 管理
anxiety	n 焦虑
argument	n 争吵；论点
assess	v 评估
assistant	n 助理 adj 助理的
astronaut	n 宇航员
attractive	adj（事物）有吸引力的，诱人的
berry	n 浆果
biology	n 生物学
blossom	v 开花；兴旺 n（果树的）花；花簇
bond	n 纽带 联系 债券 v 团结一致
break off	phr 折断，暂停
budget	n 预算 v 预算，安排 adj 廉价的
category	n 类别
credit	n 信用 信贷；v 信赖
diet	n 日常饮食 v 节食
disappearance	n 消失；绝迹
discount	n（价格、债款等的）折扣 v 打折
discuss	v 讨论
diver	n 潜水员
drag	v 拖 n 拖；拖累物
drum	v 击鼓 n 鼓；圆桶
drunken	adj 喝醉的
dustbin	n 垃圾桶
dye	v 染色 n 染料
eastward	adv 向东 adj 向东的
easy‑going	adj 随和的
economics	n 经济学；经济情况
editor	n 主编
educated	adj 受过教育的
eggplant	n 茄子
Egyptian	n 埃及人
engage	v 加入，参加，交战
fasten	v 扎牢；扣住
fertilizer	n 肥料
flight	n 航班；空中航行
mix	v 混合
moth	n 蛾
pack	v 包装；挤满 n 行李
paragraph	n（文章的）段，节
program	n 程序 v 编写程序
remove	v 去除
stand for	phr 代表
theater	n 剧场
