achieve	v 完成；达到
address	n 地址；致辞 v 写姓名地址
artificial	adj 人造的
business	n 商业
charge	v 收费 充电；控告 n 费用；主管
chemistry	n 化学
condition	n 条件 v 使适应
consequence	n 结果，后果；重要性
contain	v 包含
convenience	n 方便；便利设施
curiosity	n 好奇心
dare	v 敢于 v 激将
decade	n 十年；一个年代
defeat	n 挫败 v 打败
dentist	n 牙医
deserve	v 值得；应得；应受
dessert	n 甜点
destination	n 目的地
detail	n 细节 v 详述
dinosaur	n 恐龙
dragon	n 龙
dusk	n 黄昏
ecological	adj 生态的
elect	v 选举，推选；选择
elevator	n 电梯
embassy	n 大使馆
emotion	n 感情；情绪；强烈的感情；感性
emperor	n 皇帝
endeavor	n 尝试 v 努力
energetic	adj 充满活力的
engine	n 发动机
enlarge	v 放大，扩展
enormous	adj（范围、程度）极大的；巨大的；庞大的
explode	v 爆炸
fetch	v 取来 n 拿来，取来
fever	n 发烧 v 狂热
fiber	n 纤维（物质）
file	n 文件；v 提起（诉讼）
frozen	adj 冷冻的 v（使）冻住
generation	n 一代；一代人
mass	n 大量，一堆；群众 v 聚集
peace	n 和平；平静
well‑known	adj 有名的，著名的
