absorb	v 吸收
academic	adj 学术的；理论的 n 学者
acknowledge	v 承认；认可
adequate	adj 足够的；尚可的
adjust	v 调整，适应
adolescent	n 青少年 adj 青少年的
affordable	adj 担负得起的
aggressive	adj 有侵略性的；积极进取的
alongside	adv 在旁边，并排地
annoy	v 烦恼
apparently	adv 显然
application	n 应用程序
appreciate	v 欣赏；增值
bay	n 海湾
bicycle	n 自行车
calculate	v 计算
catch up with	phr 赶上
company	n 公司；陪伴
equipment	n 设备
examination	n 考试
fault	n 过失；v 责备
fax	n 传真 v 用传真传输
feast	n 盛宴；节日 v 尽情地吃
feather	n 羽毛
federal	adj 联邦制的
fence	n 篱笆 v 击剑
fertile	adj 肥沃的
fingernail	n 手指甲
fluent	adj（语言）流利的
fog	n 雾
fold	v 折叠 n 褶皱
foolish	adj 愚蠢的
forehead	n 前额
foreigner	n 外国人
foresee	v 预测，预料
format	n 版式
fortnight	n 两星期
fortunate	adj 幸运的
friction	n 摩擦
frightened	adj 受惊的
frightening	adj 令人害怕的
frost	n 霜冻 v 冻死
frown	n 皱眉 v 皱眉；不赞成
fulfil	v 实现，实践
funeral	n 葬礼
furnish	n 家具；v 布置
gallon	n 加仑
garlic	n 大蒜
gay	adj 快乐的
gentle	adj 温柔的
illegal	adj 非法的
investment	n 投资
locate	v 找出……的位置
mathematical	adj 数学的；精确的
motivate	v 激励
obvious	adj 明显的
opposite	adj 相反的 adv 对立地 n 反面
otherwise	adv 否则
precisely	adv 精确地
ranger	n 突击队员；护林员
regularly	adv 经常，定期地
skin	n 皮肤 v 去皮
square	n 正方形 adj 正方形的 v 把……弄成正方形
stage	n 舞台；阶段
stare	v 盯，凝视
stewardship	n 职位，职责
surround	v 包围 n 围绕物
sympathetic	adj 有同情心的
visual	adj 视觉的
wax	n 蜡 v 给……上蜡
zone	n 地带，空间
