athletic	adj 运动的；强壮的
bob	v 上下浮动
bone	n 骨头
burden	n 负担 v 使负重；烦扰
carpet	n 地毯
celebrate	v 庆祝；
chain	v 束缚 n 链子；连锁
chat	n 聊天 v 闲谈
circumstance	n 情况；条件；客观环境
combination	n 结合，联合
combine	v 联合
commissioner	n 委员，行政长官
committee	n 委员会
complicate	v（使）变复杂
congress	n 国会；议会
consequently	adv 结果
consult	v 请教，咨询
container	n 集装箱
contemporary	adj 当代的 n 同时代的人
convince	v 说服；使相信
cope	v 处理
creature	n 生物；动物
decoration	n 装饰
define	v 下定义
design	v 设计；设计图样
enable	v 使能够，使可能
energy	n 能量
entertainment	n 娱乐；招待
evident	adj 显然的，明显的，明白的
evolve	v 进化
favor	n 偏爱；特权 v 偏爱，有利于
fitness	n 健康，适合
forum	n 论坛
fragrant	adj 芬芳的；香的
gate	n 大门
glare	v 怒视 n 炫光
glory	n 荣誉
goddess	n 女神
golf	n 高尔夫
goods	n 货物，商品
gossip	n 流言 v 闲聊
gradual	adj 逐渐的，逐步的
graduation	n 毕业
grain	n 谷物
gram	n 克
grand	adj 壮丽的 n 一千美元
graph	n 图，图表
gratitude	n 感激，感谢
grave	adj 严肃的 n 墓
provide	v 提供，供给
