ape	n 类人猿
aware	adj 意识到的
battlefield	n 战场
casual	adj 随便的 n 临时工
constant	adj 不变的 n 常数
credibility	n 可靠性
current	adj 当前的，流动的 n 水流
deadline	n 最后期限
dial	v 拨（电话号码）n 拨号盘
diverse	adj 不同的
draft	n 草稿 v 起草
encounter	v 邂逅 n 偶然碰见
enthusiastic	adj 狂热的
establish	v 建立；确立
exactly	adv 精确地，准确地
exist	v 生存，存在
expense	n 花费，费用
extend	v 伸展，涉及
facility	n 设施，设备
fade	v 逐渐消失
failure	n 失败；失败者
faith	n 信任，信心，信仰
fallen	adj 倒下的
farmland	n 农田
fashionable	adj 流行的
festival	n 节日
give in	phr 投降
gorilla	n 大猩猩
grass	n 草 v 种植草
greedy	adj 贪婪的
Greek	n 希腊人，希腊语 adj 希腊人的，希腊语的
greengrocer	n 蔬菜水果商
grizzly	adj 灰色的 n 灰熊
grocer	n 食品杂货商
guilty	adj 内疚的；有罪的
gum	n 口香糖
gymnasium	n 体育馆，健身房
gymnastics	n 体操，体育
haircut	n 理发；发型
hammer	n 锤子 v 锤击
handkerchief	n 手帕
location	n 位置，外景拍摄地
max	adj 最大的 adv 最大限度的
medium	adj 中等的 n 手段
set	n 一套 adj 固定的 v（小心地）放置
