abuse	v 虐待；n 滥用；虐待
adolescence	n 青春期，青春
ambassador	n 大使；代表
anxious	adj 忧虑的
apartment	n 公寓
battery	n 电池
bead	n 珠子
brewery	n 啤酒厂
burst	n 爆炸；v 爆炸
carbon	n 碳；复写纸；adj 碳的
catalog	n 目录；v 登记
catfish	n 鲶鱼
channel	n 频道；v 引导
circus	n 马戏团
civilization	n 文明
commitment	n 承诺，奉献，献身
conduct	v 指挥 n 行为举止
database	n 数据库
describe	v 描述
disaster	n 灾难
eligible	adj 合适的；符合条件的
fund	n 资金 v 拨款
general	adj 普遍的，总的 n 将军
graduate	v 毕业，渐变成为；n 毕业生
household	n 一家人；adj 一家的
housewife	n 家庭主妇
illustration	n 插图；示例，说明
inject	v 注射，投入（资金）
inspire	v 鼓舞；激发
institute	v 建立 n 学院
jeep	n 吉普车
latter	n 后者；adj 后面的
leak	v 漏；泄露 n 漏洞
magpie	n【鸟类】喜鹊；饶舌者
moral	n 道德；adj道义的
murder	n 谋杀 v 谋杀
nuclear	adj 核能的
paste	v 粘贴；n 糊状物
pearl	n 珍珠
postpone	v 推迟，延缓
rhythm	n 节奏；韵律
rugby	n 英式橄榄球
secretly	adv 秘密地
sideline	n 球场边线；副业；v 迫使退出
somehow	adv 出于某种原因
style	n 风格；作风；设计
troop	n 军队 v 结队而行
venture	n 冒险 v 冒险
workplace	n 工作场所；车间
wrap	v 裹，包，捆
