accompany	v 陪伴；为……伴奏（或伴唱）
actress	n 女演员
admit	v 承认；准许进入
album	n 相册
all in all	phr 总而言之
anecdote	n 趣闻
appoint	v 委派，约定
arrangement	n 布置；准备
astonish	v 使吃惊
boil	v 烧开
consideration	n 考虑
cookie	n 曲奇；饼干
cotton	n 棉花
Danish	adj 丹麦的
emergency	n 紧急情况
hesitate	v 犹豫
instruction	n 说明
maple	n 枫树
material	n 材料 adj 物质的，客观存在的
microscope	n 显微镜
mop	n 拖把 v 擦抹
motorcycle	n 摩托车
perform	v 表演
performance	n 表演，表现；执行
pillow	n 枕头 v 垫，枕着
pretend	v 假装，装扮
profession	n 职业；声明
range	n 一系列；射程 v 排列
reach	v 伸手够到；抵达
react	v 起反应
recognize	v 认出，辨别
rejoice	v 感到欣喜
relay	n 接力赛跑 v 转播，转发
reservation	n 预订，居留地
roast	v 烤；挖苦 adj 烤的，烘的
rotten	adj 腐烂的
sailor	n 水手，海员
scar	n 伤疤；内心创伤 v 给……留下伤痕
scream	v 高声喊
southeast	n 东南（方）adv 向东南 adj 东南方的
southeastern	adj 东南方的
stubborn	adj 顽固的；难对付的
suck	v 吮吸 n 吸吮，吸力
surrounding	adj 周围的；环境的
survey	n 调查 v 鉴定
tightly	adv 紧紧地
whistle	n 口哨 v 吹口哨
wreath	n 花圈；圈状物
wrongly	adv 错误地
