ambitious	adj 有野心的
arch	n 拱门 v 使成拱形
Atlantic	n 大西洋 adj 大西洋的
bathtub	n 浴缸
bureaucratic	adj 官僚主义的
calculator	n 计算器
candle	n 蜡烛
cheat	v 欺骗；作弊 n 骗子
church	n 教堂
conquer	v 征服，攻克
consultant	n 顾问
cowboy	n 牛仔
cubic	adj 立体的
dominant	adj 主要的，占优势的
downtown	n 市中心 adv 在市中心
extension	n 扩建部分
hand in	phr 上交
impact	n 影响；冲击 v 有影响
increasingly	adv 越来越多地
interval	n 间隔
justice	n 公平
leopard	n 豹；美洲豹
loose	adj 宽松的 v 松开
lorry	n 卡车
loudspeaker	n 喇叭
motive	n 动机 adj 发动的 v 引发
multicultural	adj 多种文化的
mutton	n 羊肉，羊
nationwide	adv 在全国 adj 全国性的
obey	v 遵守
operator	n 接线员
participate	v 参与
particular	adj 特别的 n 细节
patent	n 专利 adj 有专利的 v 取得专利权
penguin	n 企鹅
postcode	n〈英〉邮政编码
preserve	v 保存，保护
probable	adj 很可能的 n 很有希望被选中的人
quote	v 报价；引用 n 引用
recorder	n 录音机
scholarship	n 学问；奖学金
seal	n 印章 v 封（信封）；确定
search	v 搜索 n 搜索
seize	v 抓住，夺取
spaceship	n 宇宙飞船
sword	n 剑，刀
symphony	n 交响乐
textile	n 纺织品 adj 纺织的
tremendous	adj 巨大的；惊人的
wilderness	n 荒野
