vice	n 缺点；罪行 adj 副的
vinegar	n 醋
wolf	n 狼；贪婪的人 v 狼吞虎咽地吃
accurate	adj 精确的；符合标准的
agricultural	adj 农业的；农艺的
ambassadress	n 女大使
atlas	n 地图集
attempt	v 尝试 n 努力
bathe	v 洗澡；用水清洗
battle	n 斗争 v 较量，搏斗
benefit	v 获益 n 好处
biologist	n 生物学家
blouse	n 女式衬衫；短上衣
brief	adj 简短的； n 摘要；简短声明
cafe	n 咖啡馆；餐馆
cause	v 引起 n 原因
communication	n 沟通，通信
deliberately	adv 故意地；慢条斯理地
efficient	adj 效率高的
expand	v 膨胀，详细展开
garbage	n 垃圾
hallway	n 走廊
hang up	phr 挂断电话
infect	v 传染；使受影响
juicy	adj 多汁的；报酬多的
laundry	n 洗衣物，洗衣物的活；要洗的衣物
league	n 社团
limit	n 限制 v 限制，限定
livelihood	n 生活，生计
loop	n（用线、绳、带等打成的）环 v 使成环
minister	n 部长，大臣
neat	adj 整洁的；未经稀释的
necessity	n 必需品
observe	v 观察；说，评论
onward	adj 向前的 adv 向前
originally	adv 最初
pace	n 步伐 v 踱步
partly	adv 部分地，在一定程度上
pin	n 别针 v 别住，固定住
politics	n 政治；政见
productive	adj 多产的；产生……的
purse	n 钱包（尤指女用的），小钱袋，手袋
recommend	v 推荐
register	v 登记；（仪表等）显示 n 登记表
release	v 释放；发行 n 解除；释放；发布
remote	adj 遥控器；关系远的
respect	n 尊敬 v 尊敬
roll	v 滚动，转动 n 翻滚
romance	n 浪漫
shellfish	n 贝类；有壳的水生动物
shopper	n 购物者
significantly	adv 显著地
skillful	adj 娴熟的
soccer	n 足球
spaceman	n 宇航员
sparrow	n 麻雀
subtle	adj 微妙的；精细的
symptom	n 症状；征兆
teapot	n 茶壶
technically	adv 技术上，专门地
theory	n 理论；推测
unfold	v 伸展
unspoken	adj 无言的，未说出口的
