adapt	v 适应；改编
adopt	v 收养；采取
afterwards	adv 后来
ankle	n 踝，踝关节
bar	n 酒吧；（金属）棒，杆；柜台 v 阻挡；禁止
barbershop	n 理发店
belt	n 带，腰带；传送带
bless	v 保佑
bomb	n 炸弹 v 轰炸，投弹于……
brighten	v（使）变亮；变得开心，面露喜色
cage	n 鸟笼 v 关进（笼子）
cater	v 供应饮食；为（集会等）承办酒席
claim	v 索赔；索取；主张；断言
conversation	n 谈话
darkness	n 黑暗
description	n 描写
economic	adj 经济上的，经济学的
extinct	adj 灭绝的
factual	adj 事实的
female	adj 女性的；雌性的 n 女子；雌性动（植）物
fierce	adj 凶猛的；激烈的
forbid	v 禁止
globe	n 地球，地球仪，世界
Halloween	n 万圣节前夕（指10月31日夜晚）
impair	v 损害
imprisonment	n 关押
irrigation	n 灌溉
laboratory	n 实验室
lunar	adj 阴历的，月亮的
makeup	n 化妆
meanwhile	adv 同时 n 其间
merchant	n 商人
military	n 军队 adj 军事的
misunderstand	v 误解
motor	n 马达，发动机
native	adj 本地的，本国的 n 本地人；土著
noble	adj 贵族的，高贵的 n 贵族成员
operate	v 运转；做手术
packet	n 小盒
paddle	n 桨 v 用脚蹼（手）划水，荡桨
petal	n 花瓣
potter	n 陶工
quick	adj 迅速的
relate	v 相关，讲述
reunite	v 重逢；再结合
sign	v 签署 n 记号
sow	v 播种；散布 n 母猪
street	n 街道
surface	n 浮出水面；表面；外表
systematic	adj 系统的
tram	n 有轨电车
trunk	n 象鼻；（人）躯干
unpleasant	adj 令人不快的
unrest	n 不安，动荡的局面
wrinkle	n 皱纹；褶皱 v（使脸上）起皱纹
